date,country,country_name,region,location,transit,workplace,residential,retail_recr,grocery_pharm,parks
2020-05-21,AF,Afghanistan,NA,COUNTRY OVERALL,-0.32,-0.28,0.13,NA,NA,NA
2020-05-21,AO,Angola,NA,COUNTRY OVERALL,-0.48,-0.27,0.2,-0.34,-0.19,-0.15
2020-05-21,AG,Antigua & Barbuda,NA,COUNTRY OVERALL,-0.59,-0.4,0.26,-0.36,-0.21,-0.22
2020-05-21,AR,Argentina,NA,COUNTRY OVERALL,-0.57,-0.35,0.21,-0.71,-0.27,-0.88
2020-05-21,AW,Aruba,NA,COUNTRY OVERALL,-0.63,-0.78,0.31,NA,NA,NA
2020-05-21,AU,Australia,NA,COUNTRY OVERALL,-0.52,-0.26,0.15,-0.28,-0.03,-0.33
2020-05-21,AT,Austria,NA,COUNTRY OVERALL,-0.52,-0.8,0.2,-0.58,-0.87,0.82
2020-05-21,BH,Bahrain,NA,COUNTRY OVERALL,-0.28,-0.24,0.21,NA,NA,NA
2020-05-21,BD,Bangladesh,NA,COUNTRY OVERALL,-0.62,-0.51,0.19,NA,NA,NA
2020-05-21,BB,Barbados,NA,COUNTRY OVERALL,-0.6,-0.48,0.24,-0.48,-0.32,-0.37
2020-05-21,BY,Belarus,NA,COUNTRY OVERALL,-0.17,-0.18,0.06,NA,NA,NA
2020-05-21,BE,Belgium,NA,COUNTRY OVERALL,-0.54,-0.8,0.25,-0.65,-0.52,0.8
2020-05-21,BZ,Belize,NA,COUNTRY OVERALL,-0.52,-0.4,0.17,-0.35,-0.16,-0.25
2020-05-21,BJ,Benin,NA,COUNTRY OVERALL,-0.28,-0.38,0.14,-0.18,-0.06,-0.05
2020-05-21,BO,Bolivia,NA,COUNTRY OVERALL,-0.7,-0.57,0.32,-0.7,-0.54,-0.62
2020-05-21,BA,Bosnia & Herzegovina,NA,COUNTRY OVERALL,-0.16,-0.21,0.05,NA,NA,NA
2020-05-21,BW,Botswana,NA,COUNTRY OVERALL,-0.56,-0.62,0.32,NA,NA,NA
