date,country,location,entity,value
2020-03-29,GB,Aberdeen City,retail_recr,-0.86
2020-03-29,GB,Aberdeen City,grocery_pharm,-0.41
2020-03-29,GB,Aberdeen City,parks,-0.46
2020-03-29,GB,Aberdeen City,transit,-0.73
2020-03-29,GB,Aberdeen City,workplace,-0.58
2020-03-29,GB,Aberdeen City,residential,0.3
2020-03-29,GB,Aberdeenshire,retail_recr,-0.8
2020-03-29,GB,Aberdeenshire,grocery_pharm,-0.46
2020-03-29,GB,Aberdeenshire,parks,-0.45
2020-03-29,GB,Aberdeenshire,transit,-0.58
2020-03-29,GB,Aberdeenshire,workplace,-0.52
2020-03-29,GB,Aberdeenshire,residential,0.27
2020-03-29,GB,Angus council,retail_recr,-0.8
2020-03-29,GB,Angus council,grocery_pharm,-0.44
2020-03-29,GB,Angus council,parks,-0.28
2020-03-29,GB,Angus council,transit,-0.51
2020-03-29,GB,Angus council,workplace,-0.48
2020-03-29,GB,Angus council,residential,0.2
2020-03-29,GB,Antrim and Newtownabbey,retail_recr,-0.81
2020-03-29,GB,Antrim and Newtownabbey,grocery_pharm,-0.46
2020-03-29,GB,Antrim and Newtownabbey,parks,-0.61
2020-03-29,GB,Antrim and Newtownabbey,transit,-0.89
2020-03-29,GB,Antrim and Newtownabbey,workplace,-0.52
2020-03-29,GB,Antrim and Newtownabbey,residential,0.29
2020-03-29,GB,Ards and North Down,retail_recr,-0.78
2020-03-29,GB,Ards and North Down,grocery_pharm,-0.39
2020-03-29,GB,Ards and North Down,parks,-0.57
2020-03-29,GB,Ards and North Down,transit,-0.57
2020-03-29,GB,Ards and North Down,workplace,-0.56
2020-03-29,GB,Ards and North Down,residential,0.28
2020-03-29,GB,Argyll and Bute Council,retail_recr,-0.88
2020-03-29,GB,Argyll and Bute Council,grocery_pharm,-0.45
2020-03-29,GB,Argyll and Bute Council,parks,-0.34
2020-03-29,GB,Argyll and Bute Council,transit,-0.57
2020-03-29,GB,Argyll and Bute Council,workplace,-0.52
2020-03-29,GB,Argyll and Bute Council,residential,0.08
2020-03-29,GB,Armagh City and Banbridge and Craigavon,retail_recr,-0.82
2020-03-29,GB,Armagh City and Banbridge and Craigavon,grocery_pharm,-0.45
2020-03-29,GB,Armagh City and Banbridge and Craigavon,parks,-0.66
2020-03-29,GB,Armagh City and Banbridge and Craigavon,transit,-0.65
2020-03-29,GB,Armagh City and Banbridge and Craigavon,workplace,-0.47
2020-03-29,GB,Armagh City and Banbridge and Craigavon,residential,0.27
2020-03-29,GB,Bath and North East Somerset,retail_recr,-0.91
2020-03-29,GB,Bath and North East Somerset,grocery_pharm,-0.48
2020-03-29,GB,Bath and North East Somerset,parks,-0.54
2020-03-29,GB,Bath and North East Somerset,transit,-0.75
2020-03-29,GB,Bath and North East Somerset,workplace,-0.66
2020-03-29,GB,Bath and North East Somerset,residential,0.3
2020-03-29,GB,Bedford,retail_recr,-0.86
2020-03-29,GB,Bedford,grocery_pharm,-0.47
2020-03-29,GB,Bedford,parks,-0.51
2020-03-29,GB,Bedford,transit,-0.72
2020-03-29,GB,Bedford,workplace,-0.49
2020-03-29,GB,Bedford,residential,0.28
2020-03-29,GB,Belfast,retail_recr,-0.85
2020-03-29,GB,Belfast,grocery_pharm,-0.42
2020-03-29,GB,Belfast,parks,-0.47
2020-03-29,GB,Belfast,transit,-0.76
2020-03-29,GB,Belfast,workplace,-0.59
2020-03-29,GB,Belfast,residential,0.17
2020-03-29,GB,Blackburn with Darwen,retail_recr,-0.85
2020-03-29,GB,Blackburn with Darwen,grocery_pharm,-0.42
2020-03-29,GB,Blackburn with Darwen,parks,NA
2020-03-29,GB,Blackburn with Darwen,transit,-0.71
2020-03-29,GB,Blackburn with Darwen,workplace,-0.5
2020-03-29,GB,Blackburn with Darwen,residential,0.25
2020-03-29,GB,Blackpool,retail_recr,-0.88
2020-03-29,GB,Blackpool,grocery_pharm,-0.43
2020-03-29,GB,Blackpool,parks,-0.64
2020-03-29,GB,Blackpool,transit,-0.65
2020-03-29,GB,Blackpool,workplace,-0.54
2020-03-29,GB,Blackpool,residential,0.22
2020-03-29,GB,Blaenau Gwent,retail_recr,-0.75
2020-03-29,GB,Blaenau Gwent,grocery_pharm,-0.46
2020-03-29,GB,Blaenau Gwent,parks,NA
2020-03-29,GB,Blaenau Gwent,transit,-0.57
2020-03-29,GB,Blaenau Gwent,workplace,-0.46
2020-03-29,GB,Blaenau Gwent,residential,0.12
2020-03-29,GB,Borough of Halton,retail_recr,-0.78
2020-03-29,GB,Borough of Halton,grocery_pharm,-0.43
2020-03-29,GB,Borough of Halton,parks,-0.46
2020-03-29,GB,Borough of Halton,transit,-0.6
2020-03-29,GB,Borough of Halton,workplace,-0.48
2020-03-29,GB,Borough of Halton,residential,0.25
2020-03-29,GB,Bracknell Forest,retail_recr,-0.83
2020-03-29,GB,Bracknell Forest,grocery_pharm,-0.41
2020-03-29,GB,Bracknell Forest,parks,-0.56
2020-03-29,GB,Bracknell Forest,transit,-0.69
2020-03-29,GB,Bracknell Forest,workplace,-0.58
